conflict_group_id,event_id,source_dataset,split,time_window_id,node_ids,sample_ids,conflict_type_gt,event_type,risk_attr,action,label_source,data_split_hash,conflict_manifest_hash
cg_0000,cityflow:test:0000,CityFlow,test,cityflow_tw_0000,"[""cityflow:cityflow/test/S06/c041"", ""cityflow:cityflow/test/S06/c042""]","[""cityflow/test/S06/c041"", ""cityflow/test/S06/c042""]",class_conflict,multi_camera_tracking_conflict,low,pass,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0001,mvtec_ad:test:0001,MVTec AD,test,mvtec_ad_tw_0000,"[""mvtec_ad:mvtec_ad/test/bottle/broken_large/000.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_large/001.png""]","[""mvtec_ad/test/bottle/broken_large/000.png"", ""mvtec_ad/test/bottle/broken_large/001.png""]",risk_conflict,industrial_anomaly_conflict,medium,inspect,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0002,neu_det:test:0002,NEU-DET,test,neu_det_tw_0000,"[""neu_det:neu_det/test/crazing_103"", ""neu_det:neu_det/test/crazing_108""]","[""neu_det/test/crazing_103"", ""neu_det/test/crazing_108""]",action_conflict,surface_defect_conflict,high,alert,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0003,cityflow:test:0003,CityFlow,test,cityflow_tw_0001,"[""cityflow:cityflow/test/S06/c043"", ""cityflow:cityflow/test/S06/c044""]","[""cityflow/test/S06/c043"", ""cityflow/test/S06/c044""]",duplicate_alert,multi_camera_tracking_conflict,low,upload,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0004,mvtec_ad:test:0004,MVTec AD,test,mvtec_ad_tw_0001,"[""mvtec_ad:mvtec_ad/test/bottle/broken_large/002.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_large/003.png""]","[""mvtec_ad/test/bottle/broken_large/002.png"", ""mvtec_ad/test/bottle/broken_large/003.png""]",class_conflict,industrial_anomaly_conflict,medium,pass,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0005,neu_det:test:0005,NEU-DET,test,neu_det_tw_0001,"[""neu_det:neu_det/test/crazing_110"", ""neu_det:neu_det/test/crazing_115""]","[""neu_det/test/crazing_110"", ""neu_det/test/crazing_115""]",risk_conflict,surface_defect_conflict,high,inspect,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0006,cityflow:test:0006,CityFlow,test,cityflow_tw_0002,"[""cityflow:cityflow/test/S06/c045"", ""cityflow:cityflow/test/S06/c046""]","[""cityflow/test/S06/c045"", ""cityflow/test/S06/c046""]",action_conflict,multi_camera_tracking_conflict,low,alert,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0007,mvtec_ad:test:0007,MVTec AD,test,mvtec_ad_tw_0002,"[""mvtec_ad:mvtec_ad/test/bottle/broken_large/004.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_large/005.png""]","[""mvtec_ad/test/bottle/broken_large/004.png"", ""mvtec_ad/test/bottle/broken_large/005.png""]",duplicate_alert,industrial_anomaly_conflict,medium,upload,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0008,neu_det:test:0008,NEU-DET,test,neu_det_tw_0002,"[""neu_det:neu_det/test/crazing_129"", ""neu_det:neu_det/test/crazing_13""]","[""neu_det/test/crazing_129"", ""neu_det/test/crazing_13""]",class_conflict,surface_defect_conflict,high,pass,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0009,cityflow:test:0009,CityFlow,test,cityflow_tw_0003,"[""cityflow:cityflow/test/S06/c041"", ""cityflow:cityflow/test/S06/c042""]","[""cityflow/test/S06/c041"", ""cityflow/test/S06/c042""]",risk_conflict,multi_camera_tracking_conflict,low,inspect,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
